suburb,postcode,start_date,end_date,start_rent,current_rent,total_growth_pct
Auburn,2144,2024-03-31,2025-12-31,620.0,695.0,6.73
Blacktown,2148,2024-03-31,2025-12-31,565.0,600.0,3.49
Penrith,2750,2024-03-31,2025-12-31,540.0,570.0,3.13
Bankstown,2200,2024-03-31,2025-12-31,600.0,622.5,2.12
Campbelltown,2560,2024-03-31,2025-12-31,550.0,570.0,2.06
Liverpool,2170,2024-03-31,2025-12-31,580.0,600.0,1.95
Westmead,2145,2024-03-31,2025-12-31,630.0,650.0,1.8
Parramatta,2150,2024-03-31,2025-12-31,650.0,665.0,1.31
St Marys,2760,2024-03-31,2025-12-31,550.0,550.0,0.0
Mt Druitt,2770,2024-03-31,2025-12-31,500.0,500.0,0.0
